"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Trandolapril","63629-8003-2","2 mg/1","TABLET","ORAL","ANDA077522","Bryant Ranch Prepack","63629-8003","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","02/09/2022","N/A","ANDA","90 TABLET in 1 BOTTLE (63629-8003-2)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-164-99","1 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-164","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-164-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-164-01","1 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-164","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (65862-164-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-165-01","2 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-165","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (65862-165-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-165-99","2 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-165","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-165-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-166-01","4 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-166","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (65862-166-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","65862-166-99","4 mg/1","TABLET","ORAL","ANDA078438","Aurobindo Pharma Limited","65862-166","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/12/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-166-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","68180-566-01","1 mg/1","TABLET","ORAL","ANDA077522","Lupin Pharmaceuticals, Inc.","68180-566","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/11/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (68180-566-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","68180-567-01","2 mg/1","TABLET","ORAL","ANDA077522","Lupin Pharmaceuticals, Inc.","68180-567","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/11/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (68180-567-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","68180-568-01","4 mg/1","TABLET","ORAL","ANDA077522","Lupin Pharmaceuticals, Inc.","68180-568","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","06/11/2007","N/A","ANDA","100 TABLET in 1 BOTTLE (68180-568-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","71335-1431-1","2 mg/1","TABLET","ORAL","ANDA078438","Bryant Ranch Prepack","71335-1431","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","12/06/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-1431-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril","71335-1431-2","2 mg/1","TABLET","ORAL","ANDA078438","Bryant Ranch Prepack","71335-1431","Trandolapril","TRANDOLAPRIL","HUMAN PRESCRIPTION DRUG","05/30/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-1431-2)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Trandolapril and Verapamil Hydrochloride","68462-294-90","1 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-294","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","90 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-294-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-294-10","1 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-294","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-294-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-294-01","1 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-294","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-294-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-295-01","2 mg/1,                         180  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-295","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-295-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-295-90","2 mg/1,                         180  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-295","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","90 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-295-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-295-10","2 mg/1,                         180  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-295","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-295-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-296-90","2 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-296","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","90 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-296-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-296-01","2 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-296","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-296-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-296-10","2 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-296","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-296-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-329-01","4 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-329","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-329-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
"Trandolapril and Verapamil Hydrochloride","68462-329-10","4 mg/1,                         240  mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA079135","Glenmark Pharmaceuticals Inc., USA","68462-329","Trandolapril and Verapamil Hydrochloride","TRANDOLAPRIL;  VERAPAMIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","02/25/2015","N/A","ANDA","1000 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (68462-329-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  P-Glycoprotein Inhibitors [MoA]","N/A","No","12/31/2027"
